DateTime,Event,Impact,Actual,Forecast,Previous
2021-01-06T22:30:00+03:30,FOMC Meeting Minutes,High Impact Expected,,,
2021-01-08T00:00:00+03:30,Unemployment Rate,High Impact Expected,6.7%,6.8%,6.7%
2021-01-08T00:00:00+03:30,Non-Farm Employment Change,High Impact Expected,-140K,60K,336K
2021-01-08T00:00:00+03:30,Average Hourly Earnings m/m,High Impact Expected,0.8%,0.2%,0.3%
2021-01-13T17:00:00+03:30,CPI y/y,High Impact Expected,1.4%,1.4%,1.2%
2021-01-14T21:00:00+03:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-01-15T00:00:00+03:30,Retail Sales m/m,High Impact Expected,-0.7%,0.0%,-1.4%
2021-01-15T03:45:00+03:30,President Biden Speaks,High Impact Expected,,,
2021-01-15T17:00:00+03:30,Core Retail Sales m/m,High Impact Expected,-1.4%,-0.1%,-1.3%
2021-01-20T20:22:00+03:30,President Biden Speaks,High Impact Expected,,,
2021-01-27T22:30:00+03:30,FOMC Statement,High Impact Expected,,,
2021-01-27T23:00:00+03:30,FOMC Press Conference,High Impact Expected,,,
2021-01-28T00:00:00+03:30,Advance GDP q/q,High Impact Expected,4.0%,4.2%,33.4%
2021-02-01T18:30:00+03:30,ISM Manufacturing PMI,High Impact Expected,58.7,60.0,60.7
2021-02-05T00:00:00+03:30,Non-Farm Employment Change,High Impact Expected,49K,85K,-227K
2021-02-05T00:00:00+03:30,Unemployment Rate,High Impact Expected,6.3%,6.7%,6.7%
2021-02-05T00:00:00+03:30,Average Hourly Earnings m/m,High Impact Expected,0.2%,0.3%,1.0%
2021-02-10T00:00:00+03:30,CPI y/y,High Impact Expected,1.4%,1.4%,1.4%
2021-02-10T17:00:00+03:30,CPI m/m,High Impact Expected,0.3%,0.3%,0.4%
2021-02-10T22:30:00+03:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-02-17T00:00:00+03:30,Core Retail Sales m/m,High Impact Expected,5.9%,1.1%,-1.8%
2021-02-17T00:00:00+03:30,Retail Sales m/m,High Impact Expected,5.3%,1.1%,-1.0%
2021-02-23T18:30:00+03:30,Fed Chair Powell Testifies,High Impact Expected,,,
2021-02-24T18:30:00+03:30,Fed Chair Powell Testifies,High Impact Expected,,,
2021-03-01T18:30:00+03:30,ISM Manufacturing PMI,High Impact Expected,60.8,58.7,58.7
2021-03-04T20:35:00+03:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-03-05T00:00:00+03:30,Non-Farm Employment Change,High Impact Expected,379K,197K,166K
2021-03-05T00:00:00+03:30,Average Hourly Earnings m/m,High Impact Expected,0.2%,0.2%,0.1%
2021-03-05T00:00:00+03:30,Unemployment Rate,High Impact Expected,6.2%,6.3%,6.3%
2021-03-10T00:00:00+03:30,CPI m/m,High Impact Expected,0.4%,0.4%,0.3%
2021-03-10T16:00:00+03:30,CPI y/y,High Impact Expected,1.7%,1.7%,1.4%
2021-03-10T17:00:00+03:30,Core CPI m/m,High Impact Expected,0.1%,0.2%,0.0%
2021-03-16T00:00:00+03:30,Retail Sales m/m,High Impact Expected,-3.0%,-0.5%,7.6%
2021-03-16T00:00:00+03:30,Core Retail Sales m/m,High Impact Expected,-2.7%,0.2%,8.3%
2021-03-17T00:00:00+03:30,FOMC Statement,High Impact Expected,,,
2021-03-17T21:30:00+03:30,FOMC Economic Projections,High Impact Expected,,,
2021-03-17T22:00:00+03:30,FOMC Press Conference,High Impact Expected,,,
2021-03-18T19:25:00+03:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-03-19T00:00:00+03:30,Fed Announcement,High Impact Expected,,,
2021-03-22T00:00:00+04:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-03-23T20:30:00+04:30,Fed Chair Powell Testifies,High Impact Expected,,,
2021-03-24T18:30:00+04:30,Fed Chair Powell Testifies,High Impact Expected,,,
2021-03-31T16:45:00+04:30,ADP Non-Farm Employment Change,High Impact Expected,517K,552K,176K
2021-04-01T00:50:00+04:30,President Biden Speaks,High Impact Expected,,,
2021-04-02T00:00:00+04:30,Non-Farm Employment Change,High Impact Expected,916K,652K,468K
2021-04-02T00:00:00+04:30,Unemployment Rate,High Impact Expected,6.0%,6.0%,6.2%
2021-04-02T17:00:00+04:30,Average Hourly Earnings m/m,High Impact Expected,-0.1%,0.1%,0.3%
2021-04-05T19:30:00+04:30,Treasury Sec Yellen Speaks,High Impact Expected,,,
2021-04-07T22:15:00+04:30,President Biden Speaks,High Impact Expected,,,
2021-04-07T22:30:00+04:30,FOMC Meeting Minutes,High Impact Expected,,,
2021-04-08T20:30:00+04:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-04-12T03:30:00+04:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-04-13T00:00:00+04:30,CPI y/y,High Impact Expected,2.6%,2.5%,1.7%
2021-04-13T00:00:00+04:30,CPI m/m,High Impact Expected,0.6%,0.5%,0.4%
2021-04-13T17:00:00+04:30,Core CPI m/m,High Impact Expected,0.3%,0.2%,0.1%
2021-04-14T20:30:00+04:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-04-15T00:00:00+04:30,Core Retail Sales m/m,High Impact Expected,8.4%,5.1%,-2.5%
2021-04-15T00:00:00+04:30,Retail Sales m/m,High Impact Expected,9.8%,5.8%,-2.7%
2021-04-28T22:30:00+04:30,FOMC Statement,High Impact Expected,,,
2021-04-28T23:00:00+04:30,FOMC Press Conference,High Impact Expected,,,
2021-04-29T00:00:00+04:30,President Biden Speaks,High Impact Expected,,,
2021-04-29T17:00:00+04:30,Advance GDP q/q,High Impact Expected,6.4%,6.8%,4.3%
2021-05-03T22:50:00+04:30,Fed Chair Powell Speaks,High Impact Expected,,,
2021-05-07T00:00:00+04:30,Unemployment Rate,High Impact Expected,6.1%,5.8%,6.0%
2021-05-07T00:00:00+04:30,Average Hourly Earnings m/m,High Impact Expected,0.7%,0.0%,-0.1%
